brand,sector,manipulation_urgency,manipulation_scarcity,manipulation_authority,manipulation_social_proof,manipulation_emotion_fear,manipulation_emotion_aspiration,manipulation_inadequacy,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,sentiment_textblob_polarity,sentiment_textblob_subjectivity,linguistic_sentence_count,linguistic_word_count,linguistic_avg_sentence_length,linguistic_adjective_count,linguistic_adverb_count,linguistic_verb_count,linguistic_exclamation_count,linguistic_question_count,linguistic_personal_pronoun_count
armani,Fashion,2,4,3,0,0,3,0,0.002,0.908,0.09,0.9998,0.17498013009917782,0.4256542370034433,137,4096,29.8978102189781,0,0,0,0,3,26
balenciaga,Fashion,6,4,1,3,7,4,5,0.027,0.862,0.111,1.0,0.10101265789399622,0.40008112626072273,1205,37903,31.454771784232364,0,0,0,2,77,2841
bottegaveneta,Fashion,6,3,2,1,7,1,4,0.025,0.857,0.118,1.0,0.09603576753943806,0.4158438024910151,1315,41172,31.309505703422055,0,0,0,0,81,3207
celine,Fashion,5,5,3,2,8,4,4,0.037,0.861,0.101,1.0,0.09326923264078389,0.41251965300861654,864,28368,32.833333333333336,0,0,0,1,47,623
chanel,Fashion,4,4,1,3,1,3,3,0.014,0.883,0.103,1.0,0.11534139559455997,0.3821983852996512,1032,15470,14.99031007751938,0,0,0,0,3,60
dior,Fashion,6,5,4,2,6,5,4,0.026,0.851,0.123,1.0,0.10928525077882134,0.40211282992934627,1950,50505,25.9,0,0,0,0,153,3053
givenchy,Fashion,5,3,2,2,5,4,3,0.028,0.895,0.076,1.0,0.10463018701251411,0.39117326427273136,692,21888,31.63005780346821,0,0,0,0,17,490
hugoboss,Fashion,6,3,2,1,4,5,4,0.018,0.854,0.128,1.0,0.11455316905316926,0.4269822352386465,603,17311,28.708126036484245,0,0,0,3,20,957
loewe,Fashion,3,3,1,1,4,3,4,0.026,0.876,0.099,1.0,0.12396241687140314,0.42025772230841507,506,15143,29.92687747035573,0,0,0,1,4,701
prada,Fashion,6,3,1,1,6,2,5,0.046,0.844,0.109,1.0,0.08600633240216572,0.42864761190455736,573,18592,32.446771378708554,0,0,0,0,7,793
valentino,Fashion,5,4,0,2,5,5,4,0.025,0.898,0.077,1.0,0.09387129522600736,0.4205169989986751,644,23204,36.03105590062112,0,0,0,4,30,279
ysl,Fashion,5,3,0,1,5,2,5,0.016,0.878,0.105,1.0,0.1074655999905334,0.3929822756784191,854,32022,37.49648711943794,0,0,0,0,71,2534
